time,area_h1,area_h2,area_h3,area_h4,area_h5,area_h6,area_h7
0,134071.5554472,44264.953023481,35656.844915372,44264.953023481,40751.439509967,9526.2200895163,341464.03399097
3125,134069.19090454,44275.53763264,35656.666880554,44262.864225657,40749.22482869,9892.3954353448,341094.12009256
6250,134063.12710815,44304.030845173,35659.15583417,44260.825377692,40746.621020557,10586.321857123,340379.91795713
9375,134050.82478729,44359.532201768,35666.52160856,44259.576050101,40743.915377558,11244.245767551,339675.38420716
12500,134029.71616625,44444.481168216,35680.109947196,44259.695475518,40741.399997067,11922.866261082,338921.73098466
15625,133998.12564475,44555.049599838,35700.126855567,44261.484875029,40739.264806888,12657.769660347,338088.17855757
18750,133955.72705118,44685.122687793,35725.946067367,44265.025689167,40737.595424111,13418.221153908,337212.36192646
21875,133903.34741306,44829.329340669,35756.529439794,44270.236414047,40736.40968157,14087.925230575,336416.22248028
25000,133842.45716205,44984.140039031,35790.760195784,44276.919230371,40735.682027035,14833.767562963,335536.27378275
28125,133774.70178788,45147.57612121,35827.644194282,44284.814828803,40735.356491885,15565.299301003,334664.60727492
31250,133701.60762288,45318.395028726,35866.394360949,44293.654033197,40735.359197819,16283.457625619,333801.1321308
34375,133624.44471766,45495.513146435,35906.440532653,44303.192979526,40735.611759104,16987.517959629,332947.27890498
37500,133544.18975643,45677.924001723,35947.403616385,44313.229666699,40736.041859002,17713.328324649,332067.8827751
40625,133461.54116247,45864.843379744,35989.057198959,44323.606371645,40736.588722502,18460.359390389,331164.00377429
43750,133376.95585563,46055.725789133,36031.291882409,44334.206616509,40737.204613297,19150.215311853,330314.39993116
46875,133290.69232374,46250.108898298,36074.08451213,44344.949726636,40737.853845853,19857.089946963,329445.22074637
48437.5,133246.84614947,46348.937962408,36095.77494756,44350.383703159,40738.188752751,20230.307413219,328989.56107142
51562.5,133158.20779316,46547.453861587,36139.491813201,44361.255812656,40738.842562829,20990.15509696,328064.5930596
54687.5,133067.94552383,46748.107504133,36183.931236367,44372.188866178,40739.480862467,21670.683655796,327217.66235122
60937.5,132882.55458499,47153.629905822,36275.194061661,44394.114989881,40740.658067569,23140.224229083,325413.62416098
67187.5,132688.5123798,47571.966774575,36371.024749131,44416.590737442,40741.810141816,24555.392245413,323654.70297182
73437.5,132484.61358821,48002.887810417,36472.33534056,44439.958472059,40743.057581684,25898.006064084,321959.14114298
79687.5,132270.16205664,48446.211797201,36579.815439156,44464.588583166,40744.585621311,27164.335535505,320330.30096701
85937.5,132045.11795553,48897.736703177,36693.857001552,44490.823200331,40746.616196533,28364.271539566,318761.5774033
92187.5,131810.12076665,49353.867363519,36814.505464423,44518.942436633,40749.378455856,29513.636260965,317239.54925194
98437.5,131566.39860473,49826.541536832,36941.43427239,44549.15010895,40753.085625183,30639.978254371,315723.41159753
104687.5,131315.57935902,50285.367436044,37073.948273849,44581.568375394,40757.920016657,31802.352109766,314183.26442926
110937.5,131059.4520478,50688.877991623,37211.040309785,44616.238658814,40764.026860456,32827.791117076,312832.57301443
117187.5,130799.74283702,51054.436105929,37351.505775212,44653.124358802,40771.514970003,33733.665599637,311636.01035338
123437.5,130537.9470122,51396.947731869,37494.079381668,44692.108438183,40780.459892069,34570.376259845,310528.08128416
135937.5,130015.98173868,52036.173565921,37779.978784738,44776.146579156,40803.753072241,36544.917248065,308043.04901119
148437.5,129493.36670888,52645.500306367,38062.372111918,44864.676266597,40833.03076872,38270.702221089,305830.35161642
160937.5,128967.4291458,53231.821720759,38340.081455155,44954.510904814,40867.663921424,39737.221335475,303901.27151656
167187.5,128700.50138871,53521.780645116,38478.953024285,44999.374749121,40886.287309246,40404.565781845,303008.53710166
179687.5,128161.41662738,54082.598649513,38756.319556216,45086.259254632,40926.450406654,41539.631990969,301447.32351462
192187.5,127611.71471228,54636.069408344,39041.017683752,45169.652002071,40967.966455784,42645.915332496,299927.66440526
204687.5,127055.72447077,55185.685043852,39336.786846151,45249.920785846,41008.96040969,43677.007103864,298485.91533981
217187.5,126500.2915026,55726.76979641,39643.31241947,45328.590593745,41047.954917775,44643.834983065,297109.24578692
