time,area_h1,area_h2,area_h3,area_h4,area_h5,area_h6,area_h7
0,134071.5554472,44264.953023481,35656.844915372,44264.953023481,40751.439509967,9526.2200895163,341464.03399097
3125,134069.1905864,44275.531154527,35656.668630467,44262.864725422,40749.224732973,9891.041765833,341095.47840437
6250,134063.12565094,44303.992346452,35659.165379039,44260.828240866,40746.620845386,10583.587214394,340382.68032291
9375,134050.82050131,44359.399797593,35666.552371204,44259.585796995,40743.915560571,11237.00011763,339682.72585468
12500,134029.70601864,44444.152150315,35680.1833828,44259.720089392,40741.40160814,11913.217523144,338931.61922756
15625,133998.10490035,44554.393461916,35700.270200979,44261.53588647,40739.269614372,12638.604830729,338107.82110517
18750,133955.68938392,44683.996036276,35726.189166626,44265.11760119,40737.605916309,13397.073985367,337234.3279103
21875,133903.28552029,44827.582513745,35756.902284416,44270.385680797,40736.42903897,14051.771275554,336453.64368622
25000,133842.36352387,44981.619817429,35791.291691429,44277.143221825,40735.714008088,14790.578549214,335581.28918814
31250,133702.186987,45311.760440477,35866.43548327,44294.04678089,40735.546857037,16713.878450783,333376.14500054
34375,133625.55313067,45488.051289882,35906.461124641,44303.603891402,40735.796546807,17669.02676521,332271.50725138
37500,133545.6550682,45669.602715487,35947.516328423,44313.703540727,40736.235795382,18517.858164903,331269.42838687
40625,133463.2303508,45855.523831667,35989.351302429,44324.18231478,40736.80269582,19233.199240254,330397.71026424
43750,133378.7691538,46045.199793324,36031.83857302,44334.918022166,40737.448067445,19975.219814782,329496.60657545
50000,133205.78208845,46430.263778755,36118.085869294,44356.643626775,40738.796193289,21723.293631852,327427.13481157
56250,133025.98705711,46826.184261646,36207.431582611,44378.767832331,40740.147715137,23229.103057779,325592.37849338
62500,132838.37665767,47233.213015622,36300.797256245,44401.355977347,40741.464824295,24648.029534664,323836.76273414
68750,132641.67512227,47652.073446,36399.164924521,44424.660295728,40742.800790391,25939.303514658,322200.32190642
75000,132434.84131398,48082.051462151,36503.398588074,44449.028803896,40744.29135285,27199.830921824,320586.55755721
81250,132217.35630164,48521.507162447,36614.124911906,44474.827877504,40746.133038206,28370.763136173,319055.28757211
87500,131989.35160513,48965.578964417,36731.657205666,44502.389333642,40748.553250455,29486.581327571,317575.8883131
93750,131751.61501769,49412.589704655,36855.943510296,44531.979257356,40751.781096791,30561.406530244,316134.68488295
100000,131505.48153619,49875.34055375,36986.54517773,44563.786295876,40756.025988411,31644.251480911,314668.56896712
106250,131252.63216363,50335.206800232,37122.656278342,44597.919156237,40761.465058455,32747.136733904,313182.98380919
112500,130994.85749603,50740.375203369,37263.174861616,44634.403714019,40768.237716925,33745.612072256,311853.33893578
118750,130733.84550081,51107.195861583,37406.835425717,44673.186109446,40776.447643835,34625.199295961,310677.29016264
125000,130471.02821309,51450.320626809,37552.353065459,44714.128904876,40786.16588345,35435.186845098,309590.8164612
137500,129947.5777742,52087.017193635,37843.384826532,44802.214681032,40811.187401911,37350.43156328,307158.1865594
150000,129423.60978616,52694.925096544,38130.759174306,44894.755734971,40842.31904454,39049.442499496,304964.18866397
162500,128896.15036048,53280.240833525,38414.175530266,44988.537194014,40878.84227443,40512.01610108,303030.03770619
175000,128360.41811718,53848.417756576,38697.675138751,45080.899756175,40919.392038091,41833.765822615,301259.4313706
187500,127813.83128888,54401.609542275,38987.266273379,45170.387188639,40962.120248604,43051.095025025,299613.69043319
200000,127258.53348615,54942.760095247,39287.509662889,45256.970279342,41005.062496005,44181.496907066,298067.66707329
212500,126700.54349201,55477.354544247,39599.134894327,45341.925000324,41046.549993829,45236.436616171,296598.05545908
225000,126146.55840416,56003.941529494,39919.305897115,45427.436140152,41085.500542078,46224.759536934,295192.49795006
237500,125601.14320994,56512.428352593,40243.798234046,45516.026935713,41121.535451232,47154.057870943,293851.00994552
250000,125064.94129047,56999.303367936,40569.463717584,45609.965621584,41154.95878643,48041.044019916,292560.32319607
262500,124534.29392834,57469.24776812,40895.567127175,45710.741354237,41186.64016473,48901.171798808,291302.33785858
275000,124002.94916633,57933.648803087,41223.480822342,45818.668233959,41217.82581518,49735.996964303,290067.43019479
287500,123464.97260245,58404.657577688,41554.969648244,45932.775573758,41249.917128928,50542.809524961,288849.89794396
300000,122917.35685405,58886.335406768,41890.745677899,46051.144836856,41284.268399407,51319.444094026,287650.70473099
312500,122361.0546644,59369.846645166,42230.907137713,46171.600107756,41322.020647845,52073.981385889,286470.58941122
325000,121799.7973974,59840.911881391,42575.762188655,46292.444689887,41363.942256408,52825.256518362,285301.88506789
337500,121238.08677366,60291.924662391,42925.701210095,46412.987173154,41410.258699149,53568.76101674,284152.2804648
350000,120679.76019578,60724.18320126,43280.725161311,46533.747747842,41460.522617467,54294.810676475,283026.25039985
362500,120126.85219235,61144.376274209,43640.042599306,46656.33553628,41513.628818764,55001.88324666,281916.88133242
375000,119578.83893219,61561.723510306,44001.750226541,46783.057022138,41568.034134261,55707.204203579,280799.39197097
387500,119032.94320921,61985.842852296,44365.854416831,46916.377525175,41622.123163163,56409.833549623,279667.02528369
393750,118758.08952525,62203.893774395,44550.937120481,46985.541621765,41648.89245326,56754.763726334,279097.8817785
400000,118482.72015515,62431.062253285,44742.993447156,47056.942163826,41675.166670507,57082.375797027,278528.73951304
412500,117931.20783791,63081.271703176,45303.165649636,47208.601588445,41725.172675415,57709.013049258,277041.56749615
425000,117374.22680037,63644.333077585,45747.949846519,47369.973042196,41772.698377892,58376.423332107,275714.39552332
437500,116813.46445906,64180.122527219,46159.427138288,47539.829604939,41818.297602866,59050.0750779,274438.78358972
450000,116251.96570027,64701.497846179,46561.917027902,47716.293610514,41863.038133246,59715.548135513,273189.73954637
462500,115692.95089198,65208.544366583,46960.064000226,47897.387968631,41908.29149428,60358.797507029,271973.96377126
475000,115138.81878164,65701.224921998,47354.608412633,48081.519181739,41955.503070381,60991.151798069,270777.17383353
481250,114861.75012903,65944.639173852,47549.976669804,48174.354672938,41980.160980645,61302.772247197,270186.34612652
487500,114586.18167797,66181.432422103,47741.006808829,48267.661793899,42005.698586374,61602.477970592,269615.54074022
493750,114311.87485087,66417.077176141,47930.965892761,48361.46310843,42032.236323101,61879.56079593,269066.82185276
500000,114038.46361255,66651.835271714,48118.487935789,48455.839375711,42059.862814447,62149.735488706,268525.77550107
506250,113765.48443916,66881.706688833,48305.176759989,48550.924815008,42088.629744004,62425.034607489,267983.04294551
512500,113492.41485623,67110.755476814,48491.933096452,48646.900476643,42118.548121033,62685.805755941,267453.64221687
518750,113218.71576802,67342.885151895,48679.236457215,48743.982054596,42149.58544314,62942.159177619,266923.4359475
525000,112943.87587454,67576.100485046,48863.291179773,48842.405577611,42181.665524564,63205.235767405,266387.42559105
