time,area_h1,area_h2,area_h3,area_h4,area_h5,area_h6,area_h7
0,134071.5554472,44264.953023481,35656.844915372,44264.953023481,40751.439509967,9526.2200895163,341464.03399097
3125,134069.36923084,44273.880283102,35656.094180492,44262.735531741,40749.260785218,10201.717663324,340786.94232527
6250,134063.81648823,44298.276826129,35657.229052198,44260.373944157,40746.686107334,11260.774859678,339712.84272226
9375,134052.61318502,44346.061695823,35662.05265625,44258.465214885,40743.963595844,12292.491061064,338644.35259111
10937.5,134044.62481578,44378.74621443,35665.95323299,44257.727531917,40742.578131002,12728.962351173,338181.4077227
14062.5,134020.70717852,44464.3417537,35678.261657005,44257.343992642,40740.107559585,13718.106980314,337121.13087823
15625,134005.4872401,44514.598798359,35686.122371562,44257.517087251,40738.939672812,14180.295223908,336617.039606
18750,133966.38022698,44628.375081323,35705.849964426,44259.063822789,40737.015094842,15083.045780824,335620.27002881
21875,133917.79041765,44754.566110791,35729.591778221,44261.880935053,40735.482077482,16006.937127276,334593.75155351
25000,133860.99610436,44890.008532219,35756.478978132,44265.849367015,40734.317483716,17002.474780299,333489.87475425
28125,133797.49192283,45032.975878581,35785.695926056,44270.789815968,40733.472939932,17958.646784706,332420.92673191
31250,133728.70555744,45182.586404288,35816.567439301,44276.502123097,40732.885432918,18798.790534052,331463.9625089
34375,133655.85420203,45338.169137867,35848.584887107,44282.798091465,40732.488668909,19599.71267732,330542.39233529
37500,133579.89740086,45499.013993557,35881.388389371,44289.51539666,40732.221460566,20343.00494588,329674.9584131
40625,133501.54183283,45664.366524459,35914.742659332,44296.52326963,40732.032744101,21032.223547721,328858.56942192
43750,133421.2694616,45833.497519416,35948.514830391,44303.723994824,40731.883424269,21678.740457421,328082.37031207
50000,133257.05479215,46177.487346186,36016.542807298,44318.291759962,40731.563479879,23195.479042131,326303.58077238
53125,133172.29351438,46354.718688809,36051.407675049,44325.731310179,40731.397476411,23920.808865509,325443.64246965
56250,133085.99573188,46533.659026558,36086.739055248,44333.215492852,40731.203053189,24556.455858533,324672.73178173
59375,132998.05911492,46714.049964664,36122.620165213,44340.751904207,40730.977981774,25127.339033941,323966.20183527
65625,132817.11123706,47077.826199508,36196.164277851,44355.974002346,40730.43079356,26276.821179093,322545.67231057
71875,132627.66382815,47452.695956565,36273.135170052,44371.787038514,40729.878725197,27509.202633789,321035.63664772
78125,132428.82835461,47839.651110702,36354.163635044,44388.517032488,40729.463700214,28718.944128099,319540.43203883
84375,132220.2119432,48235.336916932,36439.708983593,44406.493019958,40729.372336012,29848.714867972,318120.16193233
90625,132001.99610244,48633.760474947,36530.044472052,44426.014511814,40729.813201981,30932.110298918,316746.26093783
96875,131774.92496395,49033.218999207,36625.225407663,44447.320117289,40730.991131878,31928.754334075,315459.56504592
103125,131540.20038942,49446.670831697,36725.091166536,44470.580479998,40733.090261332,32931.548206308,314152.8186647
109375,131299.3056429,49884.76824675,36829.273592924,44495.909686127,40736.267533116,33955.979244052,312798.49605412
115625,131053.81373247,50283.62473795,36937.178035936,44523.341780649,40740.64332284,34900.010050693,311561.38833945
121875,130805.20981591,50641.577623097,37048.062095575,44552.851582002,40746.308248741,35725.952108271,310480.0385264
134375,130306.54178413,51273.983717892,37275.810002554,44618.487433218,40762.520556579,37426.133513599,308336.52299201
146875,129806.37175532,51856.912991423,37505.564740659,44689.993672524,40784.345665283,38982.488700238,306374.32247454
159375,129304.50051527,52417.788142506,37734.075785732,44764.76443941,40811.514653306,40330.145262976,304637.21120079
171875,128797.42975214,52967.211751114,37960.959459878,44839.986060706,40843.225801397,41531.88861844,303059.29855632
184375,128281.5786873,53505.273847023,38188.322118711,44913.3832992,40878.140150454,42625.925494301,301607.376403
196875,127756.29786404,54029.066147629,38419.660963366,44983.709513894,40914.557510955,43628.177533889,300268.53046621
209375,127225.02272995,54535.803784042,38658.408273718,45050.904609299,40950.73836776,44548.861345121,299030.2608901
221875,126693.55196649,55026.432030097,38906.530685531,45115.984739273,40985.23568426,45396.170831066,297876.09406327
234375,126167.28600297,55506.430066757,39163.544583805,45180.719717049,41017.115091183,46185.398598971,296779.50593926
246875,125649.35016864,55978.491367897,39426.456382919,45247.185269301,41046.037221416,46943.331951836,295709.14763799
259375,125139.4663489,56439.403068185,39690.839926168,45317.330639762,41072.242243168,47665.429408251,294675.28836556
271875,124633.9095491,56889.165828675,39952.671229971,45392.581910101,41096.453209944,48350.046915922,293685.17135628
284375,124127.0986526,57331.905910943,40210.022176481,45473.498337128,41119.719044487,49019.322899752,292718.4329786
296875,123614.05071242,57772.640020375,40463.833653512,45559.594494565,41143.241195101,49668.250418902,291778.38950512
309375,123092.52202813,58216.164007493,40717.520402692,45649.419672654,41168.20995287,50295.572382385,290860.59155377
321875,122563.66702119,58662.582208425,40975.76386487,45740.957865495,41195.671660026,50920.817337042,289940.54004294
